UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root       491     2   491  0    1 19:49 ?        00:00:00 [cfg80211]
root       501     2   501  0    1 19:49 ?        00:00:00 [irq/50-iwlwifi]
root       589     2   589  0    1 19:49 ?        00:00:00 [kworker/u9:0]
root       590     2   590  0    1 19:49 ?        00:00:00 [hci0]
root       591     2   591  0    1 19:49 ?        00:00:00 [hci0]
root       593     2   593  0    1 19:49 ?        00:00:00 [kworker/u9:1]
root       614     2   614  0    1 19:49 ?        00:00:00 [kvm-irqfd-clean]
root       653     2   653  0    1 19:49 ?        00:00:00 [kmemstick]
root       654     2   654  0    1 19:49 ?        00:00:00 [rtsx_usb_ms_1]
syslog     807     1   807  0    4 19:49 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog     807     1   829  0    4 19:49 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog     807     1   830  0    4 19:49 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog     807     1   831  0    4 19:49 ?        00:00:00 /usr/sbin/rsyslogd -n
root       808     1   808  0    1 19:49 ?        00:00:00 /sbin/cgmanager -m name=systemd
root       810     1   810  0    1 19:49 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root       813     1   813  0    1 19:49 ?        00:00:00 /usr/sbin/cron -f
avahi      816     1   816  0    1 19:49 ?        00:00:00 avahi-daemon: running [tj-ds-Inspiron-5458.local]
root       819     1   819  0    3 19:49 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       819     1   833  0    3 19:49 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       819     1   835  0    3 19:49 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
message+   820     1   820  0    1 19:49 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
avahi      827   816   827  0    1 19:49 ?        00:00:00 avahi-daemon: chroot helper
root       840     1   840  0    3 19:49 ?        00:00:00 /usr/sbin/ModemManager
root       840     1   970  0    3 19:49 ?        00:00:00 /usr/sbin/ModemManager
root       840     1   972  0    3 19:49 ?        00:00:00 /usr/sbin/ModemManager
root       845     1   845  0    3 19:49 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       845     1  1021  0    3 19:49 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       845     1  1025  0    3 19:49 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
