F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S     0   285     2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
1 S     0   321     2  0  80   0 -     0 -      ?        00:00:00 kauditd
4 S     0   343     1  0  80   0 -  8845 -      ?        00:00:00 systemd-journal
4 S     0   364     1  0  80   0 - 23694 -      ?        00:00:00 lvmetad
4 S     0   369     1  0  80   0 - 11655 -      ?        00:00:00 systemd-udevd
1 S     0   388     2  0  60 -20 -     0 -      ?        00:00:00 kworker/3:1H
1 S     0   404     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:3
1 S     0   439     2  0   9   - -     0 -      ?        00:00:01 irq/30-DLLC6AE:
1 S     0   446     2  0   9   - -     0 -      ?        00:00:00 irq/47-mei_me
1 S     0   457     2  0  60 -20 -     0 -      ?        00:00:00 cfg80211
1 S     0   469     2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:1H
1 S     0   472     2  0   9   - -     0 -      ?        00:00:00 irq/50-iwlwifi
1 S     0   566     2  0  60 -20 -     0 -      ?        00:00:00 kworker/u9:0
1 S     0   567     2  0  60 -20 -     0 -      ?        00:00:00 hci0
1 S     0   568     2  0  60 -20 -     0 -      ?        00:00:00 hci0
1 S     0   570     2  0  60 -20 -     0 -      ?        00:00:00 kworker/u9:1
1 S     0   637     2  0  60 -20 -     0 -      ?        00:00:00 kvm-irqfd-clean
1 S     0   642     2  0  60 -20 -     0 -      ?        00:00:00 kmemstick
1 S     0   643     2  0  80   0 -     0 -      ?        00:00:00 rtsx_usb_ms_1
4 S   104   796     1  0  80   0 - 64100 -      ?        00:00:00 rsyslogd
0 S     0   797     1  0  80   0 -  1101 -      ?        00:00:00 acpid
4 S     0   800     1  0  80   0 - 68970 -      ?        00:00:00 accounts-daemon
4 S     0   802     1  0  80   0 -  7254 -      ?        00:00:00 cron
4 S   106   808     1  0  80   0 - 11032 -      ?        00:00:00 dbus-daemon
4 S     0   825     1  0  80   0 -  7158 -      ?        00:00:00 systemd-logind
4 S     0   831     1  0  80   0 - 149270 -     ?        00:00:01 NetworkManager
4 S     0   834     1  0  80   0 - 41612 -      ?        00:00:00 thermald
4 S   110   836     1  0  80   0 - 11227 -      ?        00:00:00 avahi-daemon
4 S     0   847     1  0  80   0 - 84335 -      ?        00:00:00 ModemManager
4 S     0   852     1  0  80   0 -  8030 -      ?        00:00:00 bluetoothd
4 S     0   853     1  0  80   0 - 23311 -      ?        00:00:00 cupsd
4 S     0   855     1  0  80   0 -  7471 -      ?        00:00:00 cgmanager
1 S   110   948   836  0  80   0 - 11198 -      ?        00:00:00 avahi-daemon
4 S     0   952     1  0  80   0 - 68706 -      ?        00:00:00 cups-browsed
4 S     0   955     1  0  80   0 - 69764 -      ?        00:00:00 polkitd
5 S     0   957     1  0  80   0 -  4893 -      ?        00:00:00 irqbalance
4 S     7  1022   853  0  80   0 - 20312 -      ?        00:00:00 dbus
4 S     0  1044     1  0  80   0 - 10966 -      ?        00:00:00 wpa_supplicant
4 S 65534  1119   831  0  80   0 - 13219 -      ?        00:00:00 dnsmasq
5 S   108  1226     1  0  80   0 - 28024 -      ?        00:00:00 ntpd
4 S     0  1230     1  0  80   0 -  3987 -      tty1     00:00:00 agetty
4 S     0  1232     1  0  80   0 - 35340 -      ?        00:00:00 mdm
5 S     0  1248  1232  0  80   0 - 48434 -      ?        00:00:00 mdm
4 S     0  1254  1248  0  80   0 - 104958 -     tty8     00:00:13 Xorg
1 S   121  1397     1  0  80   0 - 10901 -      ?        00:00:00 dbus-launch
1 S   121  1398     1  0  80   0 - 10693 -      ?        00:00:00 dbus-daemon
4 S  1000  1420     1  0  80   0 - 11343 ep_pol ?        00:00:00 systemd
5 S  1000  1423  1420  0  80   0 - 24600 -      ?        00:00:00 (sd-pam)
